Symbol counts:
@typescript-eslint/no-var-requires: 2
autofix/eqeqeq: 4
autofix/no-alert: 26
autofix/no-confusing-arrow: 11
autofix/no-else-return: 1
autofix/no-eq-null: 4
autofix/no-implicit-coercion: 5
autofix/no-plusplus: 73
autofix/prefer-const: 8
autofix/prefer-destructuring: 33
autofix/prefer-exponentiation-operator: 7
autofix/prefer-template: 14
autofix/radix: 32
import/no-duplicates: 6
no-alert: 26
no-await-in-loop: 75
no-case-declarations: 4
no-constant-binary-expression: 1
no-duplicate-case: 1
no-promise-executor-return: 13
no-undef: 1104
no-useless-escape: 1
prefer-const: 8
promise/no-promise-in-callback: 1
promise/param-names: 1
react/hook-use-state: 1
react/no-unknown-property: 2
require-atomic-updates: 10
sonarjs/no-collapsible-if: 3
sonarjs/no-duplicated-branches: 2
sonarjs/no-identical-conditions: 1
sonarjs/no-identical-expressions: 1
sonarjs/no-identical-functions: 1
sonarjs/no-nested-template-literals: 8
sonarjs/no-small-switch: 1
sonarjs/prefer-single-boolean-return: 2
swift:S1075: 52
swift:S1117: 3
swift:S1186: 1
swift:S1192: 2
swift:S1479: 1
swift:S2108: 1
tailwindcss/enforces-shorthand: 28
tailwindcss/migration-from-tailwind-2: 9
